category,question,reverse
Agreeableness,I would rather cooperate with others than compete with them.,0
Agreeableness,"If I don¡¯t like people, I let them know it.",1
Agreeableness,I try to be courteous to everyone I meet.,0
Agreeableness,I believe that most people will take advantage of you if you let them.,1
Agreeableness,I generally try to be thoughtful and considerate.,0
Agreeableness,"If necessary, I am willing to manipulate people to get what I want.",1
Agreeableness,I¡¯m hard-headed and tough-minded in my attitudes.,1
Agreeableness,I often get into arguments with my family and co-workers.,1
Agreeableness,I tend to be cynical and skeptical of others¡¯ intentions.,1
Agreeableness,Some people think of me as cold and calculating.,1
Agreeableness,Some people think I¡¯m selfish and egotistical.,1
Agreeableness,Most people I know like me.,0
Conscientiousness,I have a clear set of goals and work toward them in an orderly fashion.,0
Conscientiousness,I waste a lot of time before settling down to work.,1
Conscientiousness,Sometimes I¡¯m not as dependable or reliable as I should be.,1
Conscientiousness,I am a productive person who always gets the job done.,0
Conscientiousness,I never seem to be able to get organized.,1
Conscientiousness,I work hard to accomplish my goals.,0
Conscientiousness,"When I make a commitment, I can always be counted on to follow through.",0
Conscientiousness,I strive for excellence in everything I do.,0
Conscientiousness,I¡¯m pretty good about pacing myself so as to get things done on time.,0
Conscientiousness,I keep my belongings neat and clean.,0
Conscientiousness,I am not a very methodical person.,1
Conscientiousness,I try to perform all the tasks assigned to me conscientiously.,0
Extraversion,I laugh easily.,0
Extraversion,"I am a cheerful, high-spirited person.",0
Extraversion,I don¡¯t consider myself especially ¡°light hearted¡±.,1
Extraversion,My life is fast-paced.,0
Extraversion,I would rather go my own way than be a leader of others.,1
Extraversion,I like to be where the action is.,0
Extraversion,I often feel as if I¡¯m bursting with energy.,0
Extraversion,I am a very active person.,0
Extraversion,I usually prefer to do things alone.,1
Extraversion,I like to have a lot of people around me.,0
Extraversion,I really enjoy talking to people.,0
Extraversion,I am not a cheerful optimist.,1
Neuroticism,I often feel helpless and want someone else to solve my problems.,0
Neuroticism,I often feel inferior to others.,0
Neuroticism,I am seldom sad or depressed.,1
Neuroticism,At times I have been so ashamed I just wanted to hide.,0
Neuroticism,I often feel tense and jittery.,0
Neuroticism,"When I¡¯m under a great deal of stress, sometimes I feel like I¡¯m going to pieces.",0
Neuroticism,Sometimes I feel completely worthless.,0
Neuroticism,"Too often when things go wrong, I get discouraged and feel like giving up.",0
Neuroticism,I rarely feel fearful or anxious.,1
Neuroticism,I rarely feel lonely or blue.,1
Neuroticism,I often get angry at the way people treat me.,0
Neuroticism,I am not a worrier.,1
Openness,I am intrigued by the patterns I find in art and nature.,0
Openness,"I have little interest in speculating on the nature of the universe or the human
condition.",1
Openness,I seldom notice the moods or feelings that different environments produce.,1
Openness,"I believe we should look to our religious authorities for decisions on moral
issues.",1
Openness,"Once I find the right way to do something, I stick to it.",1
Openness,I often try new and foreign foods.,0
Openness,I have a lot of intellectual curiosity.,0
Openness,I don¡¯t like to waste my time daydreaming.,1
Openness,"Sometimes when I am reading poetry or looking at a work of art, I feel a chill
or wave of excitement.",0
Openness,"I believe letting students hear controversial speakers can only confuse and
mislead them.",1
Openness,Poetry has little or no effect on me.,1
Openness,I often enjoy playing with theories or abstract ideas.,0
